sample,group,taxon,count
H01,Healthy,Bacteroides,7117
H01,Healthy,Faecalibacterium,7542
H01,Healthy,Prevotella,9290
H01,Healthy,Akkermansia,2577
H01,Healthy,Bifidobacterium,2770
H01,Healthy,Other,3232
H02,Healthy,Bacteroides,7324
H02,Healthy,Faecalibacterium,5018
H02,Healthy,Prevotella,2895
H02,Healthy,Akkermansia,1558
H02,Healthy,Bifidobacterium,1466
H02,Healthy,Other,1671
H03,Healthy,Bacteroides,11897
H03,Healthy,Faecalibacterium,12052
H03,Healthy,Prevotella,1342
H03,Healthy,Akkermansia,128
H03,Healthy,Bifidobacterium,679
H03,Healthy,Other,2159
H04,Healthy,Bacteroides,4346
H04,Healthy,Faecalibacterium,2203
H04,Healthy,Prevotella,1838
H04,Healthy,Akkermansia,784
H04,Healthy,Bifidobacterium,4914
H04,Healthy,Other,2885
H05,Healthy,Bacteroides,5203
H05,Healthy,Faecalibacterium,7774
H05,Healthy,Prevotella,2813
H05,Healthy,Akkermansia,3355
H05,Healthy,Bifidobacterium,5550
H05,Healthy,Other,4991
H06,Healthy,Bacteroides,5119
H06,Healthy,Faecalibacterium,8685
H06,Healthy,Prevotella,7022
H06,Healthy,Akkermansia,3692
H06,Healthy,Bifidobacterium,13888
H06,Healthy,Other,3028
H07,Healthy,Bacteroides,13306
H07,Healthy,Faecalibacterium,5479
H07,Healthy,Prevotella,2133
H07,Healthy,Akkermansia,4292
H07,Healthy,Bifidobacterium,2706
H07,Healthy,Other,1595
H08,Healthy,Bacteroides,4250
H08,Healthy,Faecalibacterium,6166
H08,Healthy,Prevotella,2366
H08,Healthy,Akkermansia,1073
H08,Healthy,Bifidobacterium,192
H08,Healthy,Other,3367
H09,Healthy,Bacteroides,4194
H09,Healthy,Faecalibacterium,10050
H09,Healthy,Prevotella,8027
H09,Healthy,Akkermansia,2235
H09,Healthy,Bifidobacterium,3213
H09,Healthy,Other,6110
H10,Healthy,Bacteroides,14095
H10,Healthy,Faecalibacterium,2839
H10,Healthy,Prevotella,1699
H10,Healthy,Akkermansia,3255
H10,Healthy,Bifidobacterium,2740
H10,Healthy,Other,4809
H11,Healthy,Bacteroides,8453
H11,Healthy,Faecalibacterium,4188
H11,Healthy,Prevotella,897
H11,Healthy,Akkermansia,472
H11,Healthy,Bifidobacterium,2955
H11,Healthy,Other,2436
H12,Healthy,Bacteroides,9213
H12,Healthy,Faecalibacterium,6223
H12,Healthy,Prevotella,1649
H12,Healthy,Akkermansia,3731
H12,Healthy,Bifidobacterium,1192
H12,Healthy,Other,3956
D01,Disease,Bacteroides,9241
D01,Disease,Faecalibacterium,692
D01,Disease,Prevotella,6961
D01,Disease,Akkermansia,1250
D01,Disease,Bifidobacterium,1363
D01,Disease,Other,10455
D02,Disease,Bacteroides,13748
D02,Disease,Faecalibacterium,6471
D02,Disease,Prevotella,4805
D02,Disease,Akkermansia,2641
D02,Disease,Bifidobacterium,1008
D02,Disease,Other,7350
D03,Disease,Bacteroides,10016
D03,Disease,Faecalibacterium,8221
D03,Disease,Prevotella,7493
D03,Disease,Akkermansia,621
D03,Disease,Bifidobacterium,6053
D03,Disease,Other,8632
D04,Disease,Bacteroides,12100
D04,Disease,Faecalibacterium,3457
D04,Disease,Prevotella,7389
D04,Disease,Akkermansia,150
D04,Disease,Bifidobacterium,469
D04,Disease,Other,3535
D05,Disease,Bacteroides,5592
D05,Disease,Faecalibacterium,2733
D05,Disease,Prevotella,3075
D05,Disease,Akkermansia,375
D05,Disease,Bifidobacterium,1073
D05,Disease,Other,3574
D06,Disease,Bacteroides,14637
D06,Disease,Faecalibacterium,3971
D06,Disease,Prevotella,9146
D06,Disease,Akkermansia,1155
D06,Disease,Bifidobacterium,3147
D06,Disease,Other,8975
D07,Disease,Bacteroides,6615
D07,Disease,Faecalibacterium,1860
D07,Disease,Prevotella,7730
D07,Disease,Akkermansia,325
D07,Disease,Bifidobacterium,4670
D07,Disease,Other,6899
D08,Disease,Bacteroides,7314
D08,Disease,Faecalibacterium,1271
D08,Disease,Prevotella,2623
D08,Disease,Akkermansia,2452
D08,Disease,Bifidobacterium,1183
D08,Disease,Other,5277
D09,Disease,Bacteroides,12220
D09,Disease,Faecalibacterium,6445
D09,Disease,Prevotella,8865
D09,Disease,Akkermansia,586
D09,Disease,Bifidobacterium,2865
D09,Disease,Other,6894
D10,Disease,Bacteroides,17766
D10,Disease,Faecalibacterium,3462
D10,Disease,Prevotella,4681
D10,Disease,Akkermansia,2215
D10,Disease,Bifidobacterium,3224
D10,Disease,Other,9237
D11,Disease,Bacteroides,10946
D11,Disease,Faecalibacterium,3783
D11,Disease,Prevotella,2399
D11,Disease,Akkermansia,259
D11,Disease,Bifidobacterium,2418
D11,Disease,Other,3822
D12,Disease,Bacteroides,6450
D12,Disease,Faecalibacterium,1497
D12,Disease,Prevotella,2640
D12,Disease,Akkermansia,594
D12,Disease,Bifidobacterium,655
D12,Disease,Other,4703
