sample,batch,reads_million,mapping_rate,q30_rate,duplication_rate
1-01,Batch 1,26.303,0.9208,0.9053,0.3033
1-02,Batch 1,20.391,0.8966,0.9039,0.3093
1-03,Batch 1,31.174,0.9538,0.9194,0.3034
1-04,Batch 1,33.375,0.916,0.9021,0.2176
1-05,Batch 1,38.055,0.9504,0.9299,0.1741
1-06,Batch 1,31.577,0.9446,0.9333,0.2018
1-07,Batch 1,34.085,0.9496,0.8956,0.2434
1-08,Batch 1,40.928,0.9298,0.9051,0.1773
1-09,Batch 1,33.502,0.9158,0.9204,0.1903
1-10,Batch 1,33.005,0.9519,0.9034,0.1543
2-01,Batch 2,26.304,0.9003,0.9258,0.2958
2-02,Batch 2,38.488,0.8895,0.9066,0.1694
2-03,Batch 2,24.871,0.8685,0.9028,0.2905
2-04,Batch 2,36.053,0.9195,0.931,0.1631
2-05,Batch 2,33.017,0.9155,0.897,0.2538
2-06,Batch 2,23.305,0.9044,0.9356,0.3035
2-07,Batch 2,26.181,0.9019,0.9196,0.3
2-08,Batch 2,31.94,0.9576,0.8829,0.1946
2-09,Batch 2,37.771,0.9208,0.9186,0.1446
2-10,Batch 2,28.941,0.874,0.9432,0.2602
3-01,Batch 3,32.901,0.9062,0.9097,0.2364
3-02,Batch 3,23.561,0.9196,0.9006,0.3273
3-03,Batch 3,31.838,0.8954,0.9153,0.2303
3-04,Batch 3,36.048,0.8729,0.9191,0.1574
3-05,Batch 3,37.306,0.8803,0.8987,0.1697
3-06,Batch 3,20.079,0.8508,0.91,0.3078
3-07,Batch 3,47.86,0.8989,0.9428,0.08
3-08,Batch 3,29.42,0.8771,0.9267,0.2388
3-09,Batch 3,34.476,0.8707,0.899,0.1667
3-10,Batch 3,27.136,0.8703,0.9177,0.2449
