gene,log2_fold_change,adjusted_p_value
GENE0001,-0.6665,0.08233449
GENE0002,-1.4242,0.0338297
GENE0003,1.4775,0.03843914
GENE0004,-0.0186,0.35086037
GENE0005,0.5154,0.11333845
GENE0006,1.0961,0.05953697
GENE0007,0.8319,0.03102933
GENE0008,-0.8221,0.05173551
GENE0009,-0.0853,0.48114832
GENE0010,-2.565,0.01263269
GENE0011,-0.2501,0.18529556
GENE0012,1.3762,0.04394073
GENE0013,-0.0038,0.27538541
GENE0014,-1.7678,0.03102933
GENE0015,-0.032,0.02540311
GENE0016,-0.9388,0.08013118
GENE0017,1.8053,0.03328936
GENE0018,3.246,0.00636204
GENE0019,-0.719,0.15182403
GENE0020,-0.9578,0.07003258
GENE0021,1.6164,0.01998307
GENE0022,-0.9078,0.04744074
GENE0023,1.0944,0.07216909
GENE0024,0.7315,0.07431263
GENE0025,-0.6765,0.1502528
GENE0026,0.6479,0.18870118
GENE0027,0.7119,0.14475089
GENE0028,-0.4716,0.20409751
GENE0029,0.4073,0.22654914
GENE0030,-0.6719,0.14584667
GENE0031,-0.8403,0.11333845
GENE0032,-1.0443,0.02816203
GENE0033,-0.2889,0.11497601
GENE0034,-0.9331,0.08487266
GENE0035,0.5741,0.16293562
GENE0036,-0.6664,0.08595358
GENE0037,-0.1076,0.12414077
GENE0038,0.1118,0.38952707
GENE0039,-1.9311,0.02540311
GENE0040,1.2519,0.01263269
GENE0041,-0.0452,0.46086662
GENE0042,-0.8844,0.09136492
GENE0043,1.3475,0.05156164
GENE0044,0.9373,0.05783604
GENE0045,1.6978,0.02689315
GENE0046,-0.0586,0.22314438
GENE0047,1.3901,0.05173551
GENE0048,-0.9777,0.07076928
GENE0049,-1.5307,0.03814949
GENE0050,-1.6688,0.03729955
GENE0051,2.0571,0.02816203
GENE0052,-0.6156,0.18784616
GENE0053,1.7795,0.03146064
GENE0054,-0.5608,0.12632877
GENE0055,1.0582,0.08586917
GENE0056,0.1255,0.48921608
GENE0057,-3.7952,0.00336024
GENE0058,2.0275,0.02508987
GENE0059,0.4793,0.15761689
GENE0060,0.4727,0.03589449
GENE0061,-1.7582,0.03469145
GENE0062,0.0424,0.5139373
GENE0063,-0.2969,0.14661495
GENE0064,-2.4715,0.01354749
GENE0065,-1.1465,0.04603323
GENE0066,-0.2134,0.37732007
GENE0067,-1.6757,0.01356628
GENE0068,-2.3014,0.01762875
GENE0069,-2.1334,0.02540311
GENE0070,-0.681,0.07171584
GENE0071,-0.8613,0.12090598
GENE0072,-0.189,0.27134492
GENE0073,1.1217,0.04452556
GENE0074,-1.2295,0.07152385
GENE0075,-1.3941,0.04939801
GENE0076,0.9085,0.05354918
GENE0077,-1.3995,0.04901204
GENE0078,-1.269,0.01416732
GENE0079,0.091,0.39126144
GENE0080,-0.4063,0.25362677
GENE0081,-0.2173,0.33928817
GENE0082,-0.3902,0.20904199
GENE0083,0.4129,0.20978913
GENE0084,1.1245,0.05173551
GENE0085,-0.2712,0.36059261
GENE0086,-1.2274,0.03729955
GENE0087,-0.7995,0.1370597
GENE0088,0.2096,0.22271557
GENE0089,1.5624,0.03155206
GENE0090,1.0886,0.01977431
GENE0091,-0.1789,0.45644609
GENE0092,-0.4394,0.21640719
GENE0093,0.3668,0.08433219
GENE0094,2.2642,0.00716103
GENE0095,-1.4998,0.03871772
GENE0096,0.8636,0.08487681
