gene,condition,sample,expression
IL6,Control,C01,6.9489
IL6,Control,C02,8.6596
IL6,Control,C03,7.2706
IL6,Control,C04,7.163
IL6,Control,C05,6.5315
IL6,Control,C06,6.4073
IL6,Control,C07,7.4516
IL6,Control,C08,6.4624
IL6,Control,C09,6.6846
IL6,Control,C10,7.0577
IL6,Control,C11,7.0221
IL6,Control,C12,6.4816
IL6,Control,C13,7.8535
IL6,Control,C14,8.0068
IL6,Control,C15,7.7652
IL6,Control,C16,6.4841
IL6,Control,C17,7.5436
IL6,Control,C18,6.7378
IL6,Control,C19,6.9642
IL6,Control,C20,7.6007
IL6,Control,C21,6.6442
IL6,Control,C22,7.1266
IL6,Control,C23,6.711
IL6,Control,C24,7.0829
IL6,Treatment,T01,8.5262
IL6,Treatment,T02,7.9141
IL6,Treatment,T03,8.8801
IL6,Treatment,T04,8.7112
IL6,Treatment,T05,8.2838
IL6,Treatment,T06,7.4347
IL6,Treatment,T07,9.1251
IL6,Treatment,T08,8.6056
IL6,Treatment,T09,8.4437
IL6,Treatment,T10,8.5135
IL6,Treatment,T11,8.0765
IL6,Treatment,T12,9.0075
IL6,Treatment,T13,7.8927
IL6,Treatment,T14,7.8429
IL6,Treatment,T15,9.0153
IL6,Treatment,T16,9.3236
IL6,Treatment,T17,8.4798
IL6,Treatment,T18,8.7657
IL6,Treatment,T19,9.3795
IL6,Treatment,T20,8.831
IL6,Treatment,T21,8.2721
IL6,Treatment,T22,8.6753
IL6,Treatment,T23,7.4022
IL6,Treatment,T24,8.3886
CXCL8,Control,C01,7.6808
CXCL8,Control,C02,8.1317
CXCL8,Control,C03,7.9266
CXCL8,Control,C04,7.9942
CXCL8,Control,C05,7.9672
CXCL8,Control,C06,7.8619
CXCL8,Control,C07,8.013
CXCL8,Control,C08,8.3028
CXCL8,Control,C09,8.3728
CXCL8,Control,C10,7.7273
CXCL8,Control,C11,7.314
CXCL8,Control,C12,8.5028
CXCL8,Control,C13,7.649
